3.3333333346422206796389530563806e-01	3.3333333333333333333333333333386e-01
1.9999999995002430132287633784677e-01	2.0000000000000000000000000000063e-01
1.4285714287622448754684981386052e-01	1.4285714285714285714285714285692e-01
1.1111111110382539768413209127642e-01	1.1111111111111111111111111111129e-01
9.0909090911872726944846534839644e-02	9.0909090909090909090909090909808e-02
7.6923076922014774441783325620997e-02	7.6923076923076923076923076923684e-02
6.6666666667072214327356389846741e-02	6.6666666666666666666666666667403e-02
5.8823529411609860411907774260684e-02	5.8823529411764705882352941175728e-02
5.2631578947427543868619733282007e-02	5.2631578947368421052631578947451e-02
4.7619047619025044881514480402858e-02	4.7619047619047619047619047618447e-02
4.3478260869573836618362453205345e-02	4.3478260869565217391304347826018e-02
3.9999999999996709022396001633896e-02	4.0000000000000000000000000000757e-02
3.7037037037038293592122185627082e-02	3.7037037037037037037037037037095e-02
3.4482758620689175396835865049007e-02	3.4482758620689655172413793103557e-02
3.2258064516129215445103262460474e-02	3.2258064516129032258064516129796e-02
3.0303030303030233086161222611131e-02	3.0303030303030303030303030303795e-02
2.8571428571428598134515803848387e-02	2.8571428571428571428571428571068e-02
2.7027027027027016830213679125711e-02	2.7027027027027027027027027026771e-02
2.564102564102564491896510389336e-02	2.5641025641025641025641025640702e-02
2.4390243902439022903714172226492e-02	2.4390243902439024390243902439794e-02
2.3255813953488372660575406927498e-02	2.325581395348837209302325581388e-02
2.2222222222222222005604111948842e-02	2.2222222222222222222222222221942e-02
2.1276595744680851146319515087859e-02	2.1276595744680851063829787234479e-02
2.0408163265306122418057098870288e-02	2.0408163265306122448979591837153e-02
1.9607843137254901971088837492003e-02	1.9607843137254901960784313725243e-02
